OWNER,CONSTRAINT_NAME,TABLE_NAME,COLUMN_NAME,POSITION
SYSTEM,DREQ_SECC_FK,ALM_DETAREQU,SECC_CODISECC,4
SYSTEM,SYS_C008751,ALM_DETAREQU,DREQ_ID,
SYSTEM,SYS_C008752,ALM_DETAREQU,CANTSOLI,
SYSTEM,SYS_C008753,ALM_DETAREQU,COSTUNIT,
SYSTEM,SYS_C008754,ALM_DETAREQU,PRECVENT,
SYSTEM,SYS_C008755,ALM_DETAREQU,REQU_OFICINA,
SYSTEM,SYS_C008756,ALM_DETAREQU,REQU_NUMERO,
SYSTEM,SYS_C008757,ALM_DETAREQU,REQU_COMPANIA,
SYSTEM,SYS_C008758,ALM_DETAREQU,ARTL_ARTICULO,
SYSTEM,SYS_C008759,ALM_DETAREQU,ARTL_CODIGRUP,
SYSTEM,SYS_C008760,ALM_DETAREQU,ARTL_CLASE,
SYSTEM,SYS_C008761,ALM_DETAREQU,ARTL_COMPANIA,
SYSTEM,SYS_C008762,ALM_DETAREQU,FECHCREA,
SYSTEM,SYS_C008763,ALM_DETAREQU,USUACREA,
SYSTEM,SYS_C008764,ALM_DETAREQU,CANTFACT,
SYSTEM,SYS_C008765,ALM_DETAREQU,REQU_TIPODOCU,
SYSTEM,AVCON_1540333190_VIGEN_001,ALM_DETARTLL,VIGENTE,
SYSTEM,DATLL_PK,ALM_DETARTLL,DATLL_ID,1
SYSTEM,DATLL_TLLA_FK,ALM_DETARTLL,TLLA_ID_TLLA,1
SYSTEM,SYS_C008768,ALM_DETARTLL,DATLL_ID,
SYSTEM,SYS_C008769,ALM_DETARTLL,ARTL_ARTICULO,
SYSTEM,SYS_C008770,ALM_DETARTLL,ARTL_CLASE,
SYSTEM,SYS_C008771,ALM_DETARTLL,ARTL_COMPANIA,
SYSTEM,SYS_C008772,ALM_DETARTLL,ARTL_CODIGRUP,
SYSTEM,SYS_C008773,ALM_DETARTLL,TLLA_ID_TLLA,
SYSTEM,SYS_C008774,ALM_DETARTLL,FECHCREA,
SYSTEM,SYS_C008775,ALM_DETARTLL,USUACREA,
SYSTEM,SYS_C008776,ALM_DETARTLL,VIGENTE,
SYSTEM,ADTF_ATFS_FK,ALM_DETATOFI,ATFS_COMPANIA,1
SYSTEM,ADTF_ATFS_FK,ALM_DETATOFI,ATFS_OFICINA,2
SYSTEM,ADTF_ATFS_FK,ALM_DETATOFI,ATFS_NUMERO,3
SYSTEM,ADTF_ATFS_FK,ALM_DETATOFI,ATFS_TIPODOCU,4
SYSTEM,ADTF_ENSA_FK,ALM_DETATOFI,ENSA_COMPANIA,1
SYSTEM,ADTF_ENSA_FK,ALM_DETATOFI,ENSA_OFICINA,2
SYSTEM,ADTF_ENSA_FK,ALM_DETATOFI,ENSA_TIPODOCU,3
SYSTEM,ADTF_ENSA_FK,ALM_DETATOFI,ENSA_NUMERO,4
SYSTEM,ADTF_PK,ALM_DETATOFI,ADTF_ID,1
SYSTEM,ADTF_SECC_FK,ALM_DETATOFI,SECC_COMPANIA,1
SYSTEM,ADTF_SECC_FK,ALM_DETATOFI,SECC_OFICINA,2
SYSTEM,ADTF_SECC_FK,ALM_DETATOFI,SECC_CODIBODE,3
SYSTEM,ADTF_SECC_FK,ALM_DETATOFI,SECC_CODISECC,4
SYSTEM,AVCON_1687816102_AJUST_000,ALM_DETATOFI,AJUSTE,
SYSTEM,SYS_C008780,ALM_DETATOFI,ADTF_ID,
SYSTEM,SYS_C008781,ALM_DETATOFI,CANTIDAD,
SYSTEM,SYS_C008782,ALM_DETATOFI,COSTUNIT,
SYSTEM,SYS_C008783,ALM_DETATOFI,AJUSTE,
SYSTEM,SYS_C008784,ALM_DETATOFI,VALOR,
SYSTEM,SYS_C008785,ALM_DETATOFI,ARTL_COMPANIA,
SYSTEM,SYS_C008786,ALM_DETATOFI,ARTL_CLASE,
SYSTEM,SYS_C008787,ALM_DETATOFI,ARTL_CODIGRUP,
SYSTEM,SYS_C008788,ALM_DETATOFI,ARTL_ARTICULO,
SYSTEM,SYS_C008789,ALM_DETATOFI,ATFS_OFICINA,
SYSTEM,SYS_C008790,ALM_DETATOFI,ATFS_COMPANIA,
SYSTEM,SYS_C008791,ALM_DETATOFI,ATFS_TIPODOCU,
SYSTEM,SYS_C008792,ALM_DETATOFI,ATFS_NUMERO,
SYSTEM,SYS_C008793,ALM_DETATOFI,SECC_CODISECC,
SYSTEM,SYS_C008794,ALM_DETATOFI,SECC_COMPANIA,
