OWNER,TABLE_NAME,COLUMN_NAME,COMMENTS
SYSTEM,ALM_DETADESP,NUMBER5,
SYSTEM,ALM_DETADESP,OBS,
SYSTEM,ALM_DETADESP,OFICINA,
SYSTEM,ALM_DETADESP,SERIE,
SYSTEM,ALM_DETADESP,TIPOCOM,
SYSTEM,ALM_DETADESP,TIPODIRECCION,
SYSTEM,ALM_DETADESP,USUACREA,
SYSTEM,ALM_DETADESP,USUACTUA,
SYSTEM,ALM_DETADESP,VCHAR1,
SYSTEM,ALM_DETADESP,VCHAR2,
SYSTEM,ALM_DETADESP,VCHAR3,
SYSTEM,ALM_DETADESP,VCHAR4,
SYSTEM,ALM_DETADESP,VCHAR5,
SYSTEM,ALM_DETALOTE,CANTPARC,
SYSTEM,ALM_DETALOTE,DTLT_ID,
SYSTEM,ALM_DETALOTE,DTMV_DTMV_ID,
SYSTEM,ALM_DETALOTE,FECHACTU,
SYSTEM,ALM_DETALOTE,FECHCREA,
SYSTEM,ALM_DETALOTE,LOTE_ALCANCE,
SYSTEM,ALM_DETALOTE,LOTE_COMPANIA,
SYSTEM,ALM_DETALOTE,LOTE_NUMELOTE,
SYSTEM,ALM_DETALOTE,NUMBER1,
SYSTEM,ALM_DETALOTE,NUMBER2,
SYSTEM,ALM_DETALOTE,NUMBER3,
SYSTEM,ALM_DETALOTE,NUMBER4,
SYSTEM,ALM_DETALOTE,NUMBER5,
SYSTEM,ALM_DETALOTE,OBS,
SYSTEM,ALM_DETALOTE,USUACREA,
SYSTEM,ALM_DETALOTE,USUACTUA,
SYSTEM,ALM_DETALOTE,VCHAR1,
SYSTEM,ALM_DETALOTE,VCHAR2,
SYSTEM,ALM_DETALOTE,VCHAR3,
SYSTEM,ALM_DETALOTE,VCHAR4,
SYSTEM,ALM_DETALOTE,VCHAR5,
SYSTEM,ALM_DETAMOVI,ADJUVEND,
SYSTEM,ALM_DETAMOVI,ADVALOREN,
SYSTEM,ALM_DETAMOVI,ARTL_ARTICULO,
SYSTEM,ALM_DETAMOVI,ARTL_CLASE,
SYSTEM,ALM_DETAMOVI,ARTL_CODIGRUP,
SYSTEM,ALM_DETAMOVI,ARTL_COMPANIA,
SYSTEM,ALM_DETAMOVI,BASEICE,
SYSTEM,ALM_DETAMOVI,CANTASIG,
SYSTEM,ALM_DETAMOVI,CANTIDAD,
SYSTEM,ALM_DETAMOVI,CANTITEM,
SYSTEM,ALM_DETAMOVI,CANTPERD,
SYSTEM,ALM_DETAMOVI,CANTSOLI,
SYSTEM,ALM_DETAMOVI,CMPR_ALCANCE,
SYSTEM,ALM_DETAMOVI,CMPR_CEDURUC,
SYSTEM,ALM_DETAMOVI,CMPR_COMPANIA,
SYSTEM,ALM_DETAMOVI,CMPR_NUMERO,
SYSTEM,ALM_DETAMOVI,CMPR_SERIE,
SYSTEM,ALM_DETAMOVI,COMBO,
SYSTEM,ALM_DETAMOVI,COSTANTE,
SYSTEM,ALM_DETAMOVI,COSTUNIT,
SYSTEM,ALM_DETAMOVI,DCAM_DCAM_ID,
SYSTEM,ALM_DETAMOVI,DREQ_DREQ_ID,
SYSTEM,ALM_DETAMOVI,DTMV_DTMV_ID,
SYSTEM,ALM_DETAMOVI,DTMV_ID,
SYSTEM,ALM_DETAMOVI,ENSA_COMPANIA,
SYSTEM,ALM_DETAMOVI,ENSA_NUMERO,
SYSTEM,ALM_DETAMOVI,ENSA_OFICINA,
SYSTEM,ALM_DETAMOVI,ENSA_TIPODOCU,
SYSTEM,ALM_DETAMOVI,ENTRSALI,
SYSTEM,ALM_DETAMOVI,FACTIMPO,
SYSTEM,ALM_DETAMOVI,FACTUTIL,
SYSTEM,ALM_DETAMOVI,FECHACTU,
SYSTEM,ALM_DETAMOVI,FECHCREA,
SYSTEM,ALM_DETAMOVI,ICESPECI,
SYSTEM,ALM_DETAMOVI,IMPT_COMPANIA,
SYSTEM,ALM_DETAMOVI,IMPT_NUMEIMPO,
SYSTEM,ALM_DETAMOVI,IMPT_OFICINA,
SYSTEM,ALM_DETAMOVI,LSPR_LSPR_ID,
SYSTEM,ALM_DETAMOVI,MODINUME,
SYSTEM,ALM_DETAMOVI,MODISERIE,
SYSTEM,ALM_DETAMOVI,NANDINA,
SYSTEM,ALM_DETAMOVI,NCCL_COMPANIA,
SYSTEM,ALM_DETAMOVI,NCCL_NUMERO,
SYSTEM,ALM_DETAMOVI,NCCL_OFICINA,
SYSTEM,ALM_DETAMOVI,NCCL_SERIE,
SYSTEM,ALM_DETAMOVI,NCPR_ALCANCE,
SYSTEM,ALM_DETAMOVI,NCPR_CEDURUC,
SYSTEM,ALM_DETAMOVI,NCPR_COMPANIA,
SYSTEM,ALM_DETAMOVI,NCPR_NUMERO,
SYSTEM,ALM_DETAMOVI,NCPR_SERIE,
SYSTEM,ALM_DETAMOVI,NUMBER1,
