CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,CST_ORDEPROD,OPRD_RCTA_FK,1,RCTA_ID,SYSTEM,CST_RECETA,RCTA_ID,NO ACTION,ENABLED
SYSTEM,CST_SIMUDETA,DSIM_SIMU_FK,1,SIMU_SIMU_ID,SYSTEM,CST_SIMUCABE,SIMU_ID,NO ACTION,ENABLED
SYSTEM,CST_VARIPROD,VARP_VARP_FK,1,VARP_VARP_ID,SYSTEM,CST_VARIPROD,VARP_ID,NO ACTION,ENABLED
SYSTEM,ECL_DETAFORMU,DTFR_DTFR_FK,1,DTFR_CODICAMP,SYSTEM,ECL_DETAFORMU,CODICAMP,NO ACTION,ENABLED
SYSTEM,ECL_DETAFORMU,DTFR_DTFR_FK,2,DTFR_CODIGO,SYSTEM,ECL_DETAFORMU,FRML_CODIGO,NO ACTION,ENABLED
SYSTEM,ECL_DETAFORMU,DTFR_FRML_FK,1,FRML_CODIGO,SYSTEM,ECL_FORMULARIO,CODIGO,NO ACTION,ENABLED
SYSTEM,ECT_DETADECLA,DTDC_DTFR_FK,1,DTFR_CODICAMP,SYSTEM,ECL_DETAFORMU,CODICAMP,NO ACTION,ENABLED
SYSTEM,ECT_DETADECLA,DTDC_DTFR_FK,2,DTFR_CODIGO,SYSTEM,ECL_DETAFORMU,FRML_CODIGO,NO ACTION,ENABLED
SYSTEM,GEN_PERIPAGO,PRPG_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO,NO ACTION,ENABLED
SYSTEM,IMP_DENOTAPEDI,DTNP_DREQ_FK,1,DREQ_DREQ_ID,SYSTEM,ALM_DETAREQU,DREQ_ID,NO ACTION,ENABLED
SYSTEM,IMP_DENOTAPEDI,DTNP_DTNP_FK,1,DTNP_DTNP_ID,SYSTEM,IMP_DENOTAPEDI,DTNP_ID,NO ACTION,ENABLED
SYSTEM,IMP_DENOTAPEDI,DTNP_NTPD_FK,1,NTPD_COMPANIA,SYSTEM,IMP_NOTAPEDI,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,IMP_DENOTAPEDI,DTNP_NTPD_FK,2,NTPD_OFICINA,SYSTEM,IMP_NOTAPEDI,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,IMP_DENOTAPEDI,DTNP_NTPD_FK,3,NTPD_NUMERO,SYSTEM,IMP_NOTAPEDI,NUMERO,NO ACTION,ENABLED
SYSTEM,IMP_NOTAPEDI,NTPD_ASGR_FK,1,ASGR_ASGR_ID,SYSTEM,GEN_ASEGURADORA,ASGR_ID,NO ACTION,ENABLED
SYSTEM,IMP_NOTAPEDI,NTPD_CBAN_FK,1,CBAN_COMPANIA,SYSTEM,BAN_CTABANCARIA,CTAS_COMPANIA,NO ACTION,ENABLED
SYSTEM,IMP_NOTAPEDI,NTPD_CBAN_FK,2,CBAN_CATALOGO,SYSTEM,BAN_CTABANCARIA,CTAS_CATALOGO,NO ACTION,ENABLED
SYSTEM,IMP_NOTAPEDI,NTPD_CBAN_FK,3,CBAN_CODIGO,SYSTEM,BAN_CTABANCARIA,CTAS_CODIGO,NO ACTION,ENABLED
SYSTEM,IMP_NOTAPEDI,NTPD_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO,NO ACTION,ENABLED
