CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN
SYSTEM,IMP_BACKORDE,BKOR_NTPD_FK,3,NTPD_NUMERO,SYSTEM,IMP_NOTAPEDI,NUMERO
SYSTEM,IMP_DENOTAPEDI,DTNP_DREQ_FK,1,DREQ_DREQ_ID,SYSTEM,ALM_DETAREQU,DREQ_ID
SYSTEM,IMP_DENOTAPEDI,DTNP_DTNP_FK,1,DTNP_DTNP_ID,SYSTEM,IMP_DENOTAPEDI,DTNP_ID
SYSTEM,IMP_DENOTAPEDI,DTNP_NTPD_FK,1,NTPD_COMPANIA,SYSTEM,IMP_NOTAPEDI,OFCN_COMPANIA
SYSTEM,IMP_DENOTAPEDI,DTNP_NTPD_FK,2,NTPD_OFICINA,SYSTEM,IMP_NOTAPEDI,OFCN_OFICINA
SYSTEM,IMP_DENOTAPEDI,DTNP_NTPD_FK,3,NTPD_NUMERO,SYSTEM,IMP_NOTAPEDI,NUMERO
SYSTEM,IMP_IMPORTAC,IMPT_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO
SYSTEM,IMP_IMPORTAC,IMPT_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,IMP_NOTAPEDI,NTPD_ASGR_FK,1,ASGR_ASGR_ID,SYSTEM,GEN_ASEGURADORA,ASGR_ID
SYSTEM,IMP_NOTAPEDI,NTPD_CBAN_FK,1,CBAN_COMPANIA,SYSTEM,BAN_CTABANCARIA,CTAS_COMPANIA
SYSTEM,IMP_NOTAPEDI,NTPD_CBAN_FK,2,CBAN_CATALOGO,SYSTEM,BAN_CTABANCARIA,CTAS_CATALOGO
SYSTEM,IMP_NOTAPEDI,NTPD_CBAN_FK,3,CBAN_CODIGO,SYSTEM,BAN_CTABANCARIA,CTAS_CODIGO
SYSTEM,IMP_NOTAPEDI,NTPD_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,IMP_NOTAPEDI,NTPD_IMPT_FK,1,IMPT_COMPANIA,SYSTEM,IMP_IMPORTAC,OFCN_COMPANIA
SYSTEM,IMP_NOTAPEDI,NTPD_IMPT_FK,2,IMPT_OFICINA,SYSTEM,IMP_IMPORTAC,OFCN_OFICINA
SYSTEM,IMP_NOTAPEDI,NTPD_IMPT_FK,3,IMPT_NUMEIMPO,SYSTEM,IMP_IMPORTAC,NUMEIMPO
SYSTEM,IMP_NOTAPEDI,NTPD_MONE_FK,1,MONE_MONEDA,SYSTEM,GEN_MONEDA,MONEDA
SYSTEM,IMP_NOTAPEDI,NTPD_NTPD_FK,1,NTPD_COMPANIA,SYSTEM,IMP_NOTAPEDI,OFCN_COMPANIA
SYSTEM,IMP_NOTAPEDI,NTPD_NTPD_FK,2,NTPD_OFICINA,SYSTEM,IMP_NOTAPEDI,OFCN_OFICINA
SYSTEM,IMP_NOTAPEDI,NTPD_NTPD_FK,3,NTPD_NUMERO,SYSTEM,IMP_NOTAPEDI,NUMERO
SYSTEM,IMP_NOTAPEDI,NTPD_REQU_FK,1,REQU_NUMERO,SYSTEM,ALM_REQUERIM,NUMERO
SYSTEM,IMP_NOTAPEDI,NTPD_REQU_FK,2,REQU_COMPANIA,SYSTEM,ALM_REQUERIM,OFCN_COMPANIA
SYSTEM,IMP_NOTAPEDI,NTPD_REQU_FK,3,REQU_OFICINA,SYSTEM,ALM_REQUERIM,OFCN_OFICINA
SYSTEM,IMP_NOTAPEDI,NTPD_REQU_FK,4,REQU_TIPODOCU,SYSTEM,ALM_REQUERIM,TPDC_TIPODOCU
SYSTEM,IMP_NOTAPEDI,NTPD_UMED_FK,1,UMED_UNIDMEDI,SYSTEM,ALM_UNIDMEDI,UNIDMEDI
SYSTEM,INF_ASOCONEX,IFCO_AFDM_FK,1,AFDM_AFDM_ID,SYSTEM,AFJ_AFDETMOV,AFDM_ID
SYSTEM,INF_DETAEQUI,INDE_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,INF_INTERFAC,INTE_INDE_FK,1,INDE_INDE_ID,SYSTEM,INF_DETAEQUI,INDE_ID
SYSTEM,PAG_DETAPAGO,DPAG_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA
SYSTEM,PAG_DETAPAGO,DPAG_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR
SYSTEM,PAG_DETAPAGO,DPAG_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,PAG_DETAPAGO,DPAG_NCPR_FK,1,NCPR_COMPANIA,SYSTEM,COM_NOTACREDI,PROV_COMPANIA
SYSTEM,PAG_DETAPAGO,DPAG_NCPR_FK,2,NCPR_CEDURUC,SYSTEM,COM_NOTACREDI,PROV_CEDURUC
SYSTEM,PAG_DETAPAGO,DPAG_NCPR_FK,3,NCPR_SERIE,SYSTEM,COM_NOTACREDI,SERIE
SYSTEM,PAG_DETAPAGO,DPAG_NCPR_FK,4,NCPR_NUMERO,SYSTEM,COM_NOTACREDI,NUMERO
SYSTEM,PAG_DETAPAGO,DPAG_NCPR_FK,5,NCPR_ALCANCE,SYSTEM,COM_NOTACREDI,ALCANCE
SYSTEM,PAG_DETAPAGO,DPAG_PPAG_FK,1,PPAG_PPAG_ID,SYSTEM,COM_PLANPAGO,PPAG_ID
SYSTEM,PAG_OTRSCTAS,OTRS_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO
SYSTEM,PAG_OTRSCTAS,OTRS_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,PRT_ABONCAPI,ABCA_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO
SYSTEM,PRT_DETASIENTO,PDAS_GPCM_FK,1,GPCM_CODIGRUP,SYSTEM,PRT_GRUPOSCOM,CODIGRUP
SYSTEM,PRT_DETASIENTO,PDAS_PCTS_FK,1,PCTS_CODIGO,SYSTEM,PRT_CUENTAS,CODIGO
SYSTEM,PRT_DETASIENTO,PDAS_PTBN_FK,1,PTBN_NUMEOPER,SYSTEM,PRT_TRANSBANCA,NUMEOPER
SYSTEM,PRT_DETASOLI,PDSL_ESOL_FK,1,ESOL_ESTADO,SYSTEM,CLI_ESTADSOLIC,ESTADO
SYSTEM,PRT_DETASOLI,PDSL_PCRG_FK,1,PCRG_TIPO,SYSTEM,PRT_CARGO,TIPO
SYSTEM,PRT_DETASOLI,PDSL_PRTC_FK,1,PRTC_TIPOCRED,SYSTEM,PRT_TIPOCREDI,TIPOCRED
SYSTEM,PRT_DETASOLI,PDSL_PSLG_FK,1,PSLG_NUMERO,SYSTEM,PRT_SOLIGRUP,NUMERO
SYSTEM,PRT_DETASOLI,PDSL_TPDC_FK,1,TPDC_TIPODOCU,SYSTEM,GEN_TIPODOCU,TIPODOCU
SYSTEM,PRT_DETIPCAU,DCSL_PCTS_FK,1,PCTS_CODIGO,SYSTEM,PRT_CUENTAS,CODIGO
SYSTEM,PRT_DETIPCAU,DCSL_TCSL_FK,1,TCSL_TIPCASUA,SYSTEM,PRT_TIPOCAUSAL,TIPCASUA
SYSTEM,PRT_DETIPCAU,DCSL_TPDC_FK,1,TPDC_TIPODOCU,SYSTEM,GEN_TIPODOCU,TIPODOCU
SYSTEM,PRT_PRESTAMOS,PRTM_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,PRT_SIMUCRED,SMCR_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,PRT_SIMUDETA,SDET_CCPT_FK,1,CCPT_TIPOCAPI,SYSTEM,PRT_CLASCAPI,TIPOCAPI
SYSTEM,PRT_SIMUDETA,SDET_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,PRT_SIMUDETA,SDET_FRPG_FK,1,FRPG_FORMPAGO,SYSTEM,GEN_FORMPAGO,FORMPAGO
SYSTEM,PRT_SIMUDETA,SDET_SMCR_FK,1,SMCR_SMCR_ID,SYSTEM,PRT_SIMUCRED,SMCR_ID
SYSTEM,PRT_SOLIGRUP,PSLG_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,RHH_ACTIFIJA,ACFIA_PRAC_FK,1,PRAC_CODIGO,SYSTEM,RHH_PRODUCTOS,CODIGO
SYSTEM,RHH_CREDITOS,CRED_PRPG_FK,1,PRPG_CODIPERI,SYSTEM,GEN_PERIPAGO,CODIPERI
SYSTEM,RHH_DETAPRES,DPRS_PRS_FK,1,PRS_NUMERO,SYSTEM,RHH_PRESUPUESTO,NUMERO
SYSTEM,RHH_DETAPRES,DPRS_PRS_FK,2,PRS_COMPANIA,SYSTEM,RHH_PRESUPUESTO,OFCN_COMPANIA
SYSTEM,RHH_DETAPRES,DPRS_PRS_FK,3,PRS_OFICINA,SYSTEM,RHH_PRESUPUESTO,OFCN_OFICINA
SYSTEM,RHH_DETAVENC,CUOTAS_ASTO_FK,1,ASTO_CMPN_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA
SYSTEM,RHH_DETAVENC,CUOTAS_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR
SYSTEM,RHH_DETAVENC,CUOTAS_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,RHH_DETAVENC,CUOTAS_VNCT_FK,1,VNCT_ID,SYSTEM,RHH_VENCIMIEN,VNCT_ID
SYSTEM,RHH_INGREGRE,INEG_DAST_FK,1,DAST_DAST_ID,SYSTEM,CNT_DETASIENTO,DAST_ID
SYSTEM,RHH_PAGOVACA,PGVC_EGEN_FK,1,EGEN_ESTADO,SYSTEM,GEN_ESTADOS,ESTADO
SYSTEM,RHH_PAGOVACA,PGVC_PRVN_FK,1,PRVN_FECHA,SYSTEM,RHH_PROVICION,FECHA
SYSTEM,RHH_PAGOVACA,PGVC_PRVN_FK,2,PRVN_CODIPROV,SYSTEM,RHH_PROVICION,TPPR_CODIPROV
SYSTEM,RHH_PAGOVACA,PGVC_PRVN_FK,3,PRVN_CEDURUC,SYSTEM,RHH_PROVICION,RHHS_CEDURUC
SYSTEM,RHH_REGIACTI,RGAC_PRAC_FK,1,PRAC_CODIGO,SYSTEM,RHH_PRODUCTOS,CODIGO
SYSTEM,SEG_GRUPOS,SGRU_SPRO_FK,1,SPRO_PRODUCTO,SYSTEM,SEG_PRODUCTO,PRODUCTO
SYSTEM,SEG_PRODUSUA,PDUS_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO
SYSTEM,SEG_PRODUSUA,PDUS_USUA_FK,1,USUA_IDUSUAR,SYSTEM,SEG_USUARIO,IDUSUAR
SYSTEM,SRI_DETALOGF,ERDO_LGFA_FK,1,LGFA_LGFA_ID,SYSTEM,SRI_LOGFACTU,LGFA_ID
SYSTEM,SRI_DETALOGF,ERDO_TPER_FK,1,TPER_CODIERRO,SYSTEM,SRI_TPERSSRI,CODIERRO
SYSTEM,SRI_LOGFACTU,LGFA_TPCM_FK,1,TPCM_TIPOCOMP,SYSTEM,CNT_TIPOCOMP,TIPOCOMP
SYSTEM,SRV_CUOTSERV,DCSR_SPVD_FK,1,SPVD_SPVD_ID,SYSTEM,SRV_SEPRVDET,SPVD_ID
