OWNER,TRIGGER_NAME,TABLE_OWNER,TABLE_NAME,BASE_OBJECT_TYPE,TRIGGER_TYPE,TRIGGERING_EVENT,STATUS
MDSYS,SDO_CRS_INSERT_TRIGGER,MDSYS,SDO_COORD_REF_SYSTEM,VIEW,INSTEAD OF,INSERT,ENABLED
MDSYS,SDO_COORD_SYS_ADMIN_TRIGGER,MDSYS,SDO_COORD_SYS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_CRS_GEOG_SRID_UPDATE,MDSYS,SDO_CRS_GEOGRAPHIC_PLUS_HEIGHT,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
MDSYS,SDO_CS_SRS_ADMIN_TRIGGER,MDSYS,SDO_CS_SRS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_CS_SRS_SRID_INSERT,MDSYS,SDO_CS_SRS,TABLE,BEFORE EACH ROW,INSERT,ENABLED
MDSYS,SDO_CS_SRS_SRID_UPDATE,MDSYS,SDO_CS_SRS,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
MDSYS,SDO_DATUMS_ADMIN_TRIGGER,MDSYS,SDO_DATUMS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_ELLIPSOIDS_ADMIN_TRIGGER,MDSYS,SDO_ELLIPSOIDS,TABLE,BEFORE STATEMENT,INSERT OR UPDATE OR DELETE,ENABLED
MDSYS,SDO_FEATURE_USAGE_UPDATE,MDSYS,SDO_FEATURE_USAGE,TABLE,AFTER EACH ROW,UPDATE OR DELETE,ENABLED
MDSYS,CHK_SDO_DIMNAME,MDSYS,SDO_GEOM_METADATA_TABLE,TABLE,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
