OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,VALIDATED,DEFERRABLE,DEFERRED,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,BAD,INVALID,GENERATED,SEARCH_CONDITION_VC
SYS,SYS_C001292,C,XSTREAM$_SYSGEN_OBJS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJECT_TYPE"" IS NOT NULL"
SYS,SYS_C00786,C,XS$VERIFIERS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""USER#"" IS NOT NULL"
SYS,SYS_C00787,C,XS$VERIFIERS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""VERIFIER"" IS NOT NULL"
SYS,XS$WORKSPACE_PK,P,XS$WORKSPACE,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,AGENT_MUST_BE_CREATED,R,AQ$_INTERNET_AGENT_PRIVS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,SYSTEM,SYS_C002560,CASCADE,,,USER NAME,
SYSTEM,SYS_C002561,C,AQ$_INTERNET_AGENT_PRIVS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""AGENT_NAME"" IS NOT NULL"
SYSTEM,SYS_C002562,C,AQ$_INTERNET_AGENT_PRIVS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""DB_USERNAME"" IS NOT NULL"
SYSTEM,UNQ_PAIRS,U,AQ$_INTERNET_AGENT_PRIVS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C002558,C,AQ$_INTERNET_AGENTS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""AGENT_NAME"" IS NOT NULL"
SYSTEM,SYS_C002559,C,AQ$_INTERNET_AGENTS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""PROTOCOL"" IS NOT NULL"
SYSTEM,SYS_C002560,P,AQ$_INTERNET_AGENTS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,
SYSTEM,AQ$_KEY_SHARD_MAP_PK,U,AQ$_KEY_SHARD_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C002427,C,AQ$_KEY_SHARD_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""QUEUE"" IS NOT NULL"
SYSTEM,SYS_C002428,C,AQ$_KEY_SHARD_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""KEY"" IS NOT NULL"
SYSTEM,SYS_C002429,C,AQ$_KEY_SHARD_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SHARD"" IS NOT NULL"
SYSTEM,SYS_C002430,C,AQ$_KEY_SHARD_MAP,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""DELAY_SHARD"" IS NOT NULL"
SYSTEM,AQ$_QUEUES_CHECK,U,AQ$_QUEUES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,AQ$_QUEUES_PRIMARY,P,AQ$_QUEUES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C002432,C,AQ$_QUEUES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""EVENTID"" IS NOT NULL"
SYSTEM,SYS_C002433,C,AQ$_QUEUES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""NAME"" IS NOT NULL"
SYSTEM,SYS_C002434,C,AQ$_QUEUES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""TABLE_OBJNO"" IS NOT NULL"
SYSTEM,SYS_C002435,C,AQ$_QUEUES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""USAGE"" IS NOT NULL"
SYSTEM,SYS_C002436,C,AQ$_QUEUES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""ENABLE_FLAG"" IS NOT NULL"
SYSTEM,AQ$_QUEUE_TABLES_PRIMARY,P,AQ$_QUEUE_TABLES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C002407,C,AQ$_QUEUE_TABLES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SCHEMA"" IS NOT NULL"
SYSTEM,SYS_C002408,C,AQ$_QUEUE_TABLES,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""NAME"" IS NOT NULL"
