CHILD_OWNER,CHILD_TABLE,FK_NAME,POSITION,CHILD_COLUMN,PARENT_OWNER,PARENT_TABLE,PARENT_COLUMN,DELETE_RULE,STATUS
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,2,CTAS_CATALOGO,SYSTEM,CNT_CUENTAS,CTLG_CATALOGO,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_CTAS_FK,3,CTAS_CODIGO,SYSTEM,CNT_CUENTAS,CODIGO,NO ACTION,ENABLED
SYSTEM,CNT_DETASIENTO,DAST_DAST_FK,1,DAST_DAST_ID,SYSTEM,CNT_DETASIENTO,DAST_ID,NO ACTION,ENABLED
SYSTEM,CNT_DETIPIMP,DTIP_TPIM_FK,1,TPIM_TIPOIMPU,SYSTEM,CNT_TIPOIMPU,TIPOIMPU,NO ACTION,ENABLED
SYSTEM,CNT_INTECONT,INCN_PRDT_FK,1,PRDT_PRODUCTO,SYSTEM,GEN_PRODUCTOS,PRODUCTO,NO ACTION,ENABLED
SYSTEM,CNT_INTECONT,INCN_TPDC_FK,1,TPDC_TIPODOCU,SYSTEM,GEN_TIPODOCU,TIPODOCU,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_ASTO_FK,1,ASTO_COMPANIA,SYSTEM,CNT_ASIENTO,CMPN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_ASTO_FK,2,ASTO_NUMEDIAR,SYSTEM,CNT_ASIENTO,NUMEDIAR,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_DEPT_FK,1,DEPT_COMPANIA,SYSTEM,RHH_DEPARTAM,OFCN_COMPANIA,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_DEPT_FK,2,DEPT_OFICINA,SYSTEM,RHH_DEPARTAM,OFCN_OFICINA,NO ACTION,ENABLED
SYSTEM,CNT_INTPROCESO,IPRO_DEPT_FK,3,DEPT_CODIDEPA,SYSTEM,RHH_DEPARTAM,CODIDEPA,NO ACTION,ENABLED
