OWNER,TABLE_NAME,CONSTRAINT_NAME,POSITION,COLUMN_NAME
SYSTEM,RHH_HORACTIV,HORACTIV_PK,1,HORACTIV_ID
SYSTEM,RHH_HORARIO,HRRO_PK,1,HRRO_ID
SYSTEM,RHH_HORATRAB,HREM_PK,1,RHHS_CEDURUC
SYSTEM,RHH_HORATRAB,HREM_PK,2,JRND_CODIGO
SYSTEM,RHH_HORATRAB,HREM_PK,3,FECHA
SYSTEM,RHH_IMPRENEM,IREM_PK,1,FECHA
SYSTEM,RHH_IMPRENEM,IREM_PK,2,RHHS_CEDURUC
SYSTEM,RHH_IMPUESTOS,IMPU_PK,1,IMPU_ID
SYSTEM,RHH_INGREGRE,INEG_PK,1,INEG_ID
SYSTEM,RHH_JORNADA,JRND_PK,1,CODIGO
SYSTEM,RHH_LIQUIDAC,LIQU_PK,1,LIQU_ID
SYSTEM,RHH_PAGOVACA,PGVC_PK,1,PGVC_ID
SYSTEM,RHH_PARADISC,PRDS_PK,1,PRDS_ID
SYSTEM,RHH_PERIODOS,PERI_PK,1,FECHINIC
SYSTEM,RHH_PERIODOS,PERI_PK,2,FECHFIN
SYSTEM,RHH_PERIODOS,PERI_PK,3,TPPR_CODIPROV
SYSTEM,RHH_PERIODOS,PERI_PK,4,REGN_REGION
SYSTEM,RHH_PLANACTI,PLAC_PK,1,PLAC_ID
SYSTEM,RHH_PRESUPUESTO,PRS_PK,1,NUMERO
SYSTEM,RHH_PRESUPUESTO,PRS_PK,2,OFCN_COMPANIA
